i,t,m,0
0374-001-001,2019-20,Mainland Other Urban,36586.82973520896
0375-001-001,2019-20,Mainland Other Urban,18726.771785450095
0375-001-004,2019-20,Dar Es Salaam,30986.340605549005
0376-001-001,2019-20,Mainland Rural,35634.89968573442
0377-001-002,2019-20,Mainland Other Urban,26606.00164985178
0378-003-001,2019-20,Mainland Rural,64724.10285016591
0379-001-001,2019-20,Dar Es Salaam,38972.82732581837
0380-001-001,2019-20,Dar Es Salaam,56868.37834212473
0381-001-002,2019-20,Mainland Rural,21424.320970410692
0381-002-001,2019-20,Dar Es Salaam,31735.597500541437
0382-001-001,2019-20,Mainland Other Urban,44357.103686118084
0382-003-001,2019-20,Mainland Other Urban,16789.89367767051
0383-002-001,2019-20,Mainland Other Urban,33754.193021460276
0385-001-001,2019-20,Mainland Other Urban,44548.45605602514
0385-001-002,2019-20,Zanzibar,21157.78396372343
0386-001-001,2019-20,Mainland Rural,26060.654497301206
0387-001-001,2019-20,Mainland Rural,32334.35473725853
0388-001-001,2019-20,Mainland Other Urban,25810.01626079302
0388-005-001,2019-20,Mainland Other Urban,27508.807078826532
0389-001-001,2019-20,Mainland Rural,23615.40149831632
0389-001-002,2019-20,Mainland Rural,18614.914938646234
0390-001-001,2019-20,Mainland Rural,26621.57557446041
0391-001-001,2019-20,Mainland Rural,48527.69955755156
0391-005-001,2019-20,Mainland Other Urban,22966.707200372497
0392-001-002,2019-20,Mainland Rural,33130.42927595959
0393-001-001,2019-20,Mainland Rural,40782.681361552066
0393-002-001,2019-20,Mainland Rural,23892.519127783962
0394-001-001,2019-20,Mainland Rural,36910.53639114353
0395-001-001,2019-20,Mainland Rural,33749.9535798584
0395-001-006,2019-20,Mainland Rural,34167.720661577616
0396-001-001,2019-20,Mainland Rural,26085.849180037934
0396-102-001,2019-20,Dar Es Salaam,14235.034254856128
0397-001-001,2019-20,Mainland Rural,34484.725725763376
0398-001-001,2019-20,Mainland Other Urban,23949.428727927327
0398-001-002,2019-20,Mainland Other Urban,32356.7547327968
0398-001-003,2019-20,Mainland Other Urban,34667.58073154918
0398-001-005,2019-20,Mainland Rural,67083.08794886452
0399-001-001,2019-20,Mainland Other Urban,111142.38672551652
0400-001-001,2019-20,Mainland Other Urban,31686.110019289594
0401-001-001,2019-20,Mainland Rural,36031.247390524484
0402-001-002,2019-20,Mainland Other Urban,19879.51839934934
